id,title,description,google_product_category,product_type,link,image_link,condition,availability,price,sale_price,sale_price_effective_date,gtin,brand,mpn,item_group_id,gender,age_group,color,size,shipping,custom_label_0,custom_label_3,custom_label_4
PRODUCT_011,Like a Boss,Like a boss shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/Eddie.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_011,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_012,Go,Go programming shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/Go.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_012,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_013,Haskell,Haskell programming language shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/haskell.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_013,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_014,Havn\t You Tried turn Off and On Again ?,Havn\t You Tried turn Off and On Again ? shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/HaveYouTriedTurnOff.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_014,,,,,TH::Standard:20.00 THB,Made in Singapore,Featured Products,3
PRODUCT_015,HTML 5 (Badge),HTML5 Badge shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/Html5_badge.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_015,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_016,HTML 5 (Shaped),HTML5 shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/Html5.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_016,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_017,Isaac Asimov,AI shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/HumanityComputer.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_017,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_018,Jenkins,Jenkins shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/Jenkins.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_018,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_019,JS,JavaScript programming language shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/js.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_019,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_020,Kubernetes,Kubernetes shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/Kube.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_020,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_021,Linux is not crime,Linux is not crime shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/LinuxNotCrime.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_021,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_022,Moo,Moo shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/moo.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_022,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_023,Python,Python programming language shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/Python.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_023,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_024,Scala,Scala programming language shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/Scala.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_024,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_025,Sudo rm -rf \/,Sudo rm -rf \/ sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/SudoRmRf.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_025,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_026,Tails,Tails shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/Tails.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_026,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_027,There\'re no place like 127.0.0.1,There\'re no place like 127.0.0.1 shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/ThereNoOtherPlace.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_027,,,,,TH::Standard:20.00 THB,Made in Singapore,Featured Products,4
PRODUCT_028,Try Something New On Production,Try Something New On Production shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/TrySomethingNewOnProd.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_028,,,,,TH::Standard:20.00 THB,Made in Singapore,Featured Products,5
PRODUCT_029,Turing Machine,Turing Machine shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/TuringMachine.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_029,,,,,TH::Standard:20.00 THB,Made in Singapore,Featured Products,1
PRODUCT_030,Vim,Vim shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/Vim.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_030,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_031,Webpack,Webpack shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/Webpack.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_031,,,,,TH::Standard:20.00 THB,Made in Singapore,,
